Policy Name,Confidence Score
'chpasswd' is used to set or remove passwords,69
'public network access enabled' is not set to 'False' for mySQL servers,75
2FA is not enforced in GitHub,69
A MySQL database instance allows anyone to connect with administrative privileges,70
A Policy is not Defined for KMS Key,72
A user for the container has not been created,75
AI data exposure risk due to S3 bucket linked to SageMaker training job not configured with secure data transport policy,69
AI data exposure risk due to S3 bucket used for SageMaker training job accessible to unmonitored cloud accounts,74
AI data exposure risk due to publicly readable S3 bucket used for SageMaker training jobs,71
AI data exposure risk due to publicly readable S3 bucket used in training AWS Bedrock Custom model,70
AI data poisoning risk due to publicly writable S3 Bucket used for SageMaker training job data,72
AI data poisoning risk due to publicly writable S3 Bucket used for storing AWS Bedrock Custom model training data,73
AI model tampering risk due to publicly writable S3 bucket used for storing SageMaker training job output,71
AI model theft risk due to publicly exposed Storage Bucket containing GCP Vertex AI model,68
AI model theft risk due to publicly exposed Storage Bucket containing GCP Vertex AI training pipeline output model,68
AI model theft risk due to unmonitored and publicly exposed Storage Bucket containing GCP Vertex AI model,69
AI model theft risk due to unmonitored and publicly exposed Storage Bucket containing GCP Vertex AI training pipeline output model,70
AI training job data exposure risk due to Azure Storage utilized for Azure Machine Learning training job data is publicly accessible,72
AKS Cluster Without Upgrade Channel,67
AKS Doesn't Use the Paid SKU for its SLA,70
AKS Secrets Store Without Auto-Rotation,66
"AKS cluster not encrypting temp disks, caches, and data flows",70
AKS does not use Azure policies add-on,69
AKS is not enabled for private clusters,75
ALB does not drop HTTP headers,69
ALB does not redirect HTTP requests into HTTPS ones,68
ALB is not configured with the defensive or strictest desync mitigation mode,71
API Gateway does not have X-Ray tracing enabled,69
API Gateway does not have access logging enabled,73
API Gateway method setting is not set to encrypted caching,72
API Gateway stage does not have logging level defined appropriately,74
API Library activity,70
API Management Without Minimum TLS 1.2,69
API Management with Public Access,73
API keys transmitted over cleartext,65
API management services do not use virtual networks,71
API request does not conform to the API specification.,78
API spec includes a 'password' flow in OAuth2 authentication,69
AWS  Doc DB not encrypted using Customer Managed Key,70
AWS ACM Certificate with wildcard domain name,67
AWS ACM certificate does not enable Create before Destroy,68
AWS ACM certificates does not have logging preference,73
AWS ALB attached WAFv2 WebACL is not configured with AMR for Log4j Vulnerability,70
