Policy ID,Mapped Section,Confidence,Rationale,Source,Status,Description
00111623-2d7d-4b61-80bc-3530bbcb7ca6,4.8 Security Principals for CSP Administration,27,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
00111623-2d7d-4b61-80bc-3530bbcb7ca6,5.0 Enforcement,51,Matched with '5.0 Enforcement' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
00111623-2d7d-4b61-80bc-3530bbcb7ca6,5.0 Enforcement,64,"Matched with '5.0 Enforcement' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
003582e3-a444-45d2-a873-68e7c62a712c,4.3 Oversight and Accountability,26,High confidence match with '4.3 Oversight and Accountability'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
003582e3-a444-45d2-a873-68e7c62a712c,4.6 Production Environments,51,Matched with '4.6 Production Environments' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
003582e3-a444-45d2-a873-68e7c62a712c,5.0 Enforcement,64,"Matched with '5.0 Enforcement' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
00475a66-aff3-4853-8960-6e97cd73332b,4.8 Security Principals for CSP Administration,32,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: for.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
00475a66-aff3-4853-8960-6e97cd73332b,4.17 Asset Tags,55,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
00475a66-aff3-4853-8960-6e97cd73332b,4.17 Asset Tags,67,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
004db026-84f7-448b-9e29-539bcfaaa479,4.3 Oversight and Accountability,39,High confidence match with '4.3 Oversight and Accountability'. The policy shares key concepts and lexical terms like: and.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
004db026-84f7-448b-9e29-539bcfaaa479,4.13 Technology Approval and Third-Party Components,53,Matched with '4.13 Technology Approval and Third-Party Components' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
004db026-84f7-448b-9e29-539bcfaaa479,4.13 Technology Approval and Third-Party Components,65,"Matched with '4.13 Technology Approval and Third-Party Components' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
0088f884-0e1d-4b52-a362-3a8692e8fe18,,23,No confident mapping found. Lexical and semantic similarity scores are below the threshold.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
0088f884-0e1d-4b52-a362-3a8692e8fe18,3.0 Purpose,53,Matched with '3.0 Purpose' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
0088f884-0e1d-4b52-a362-3a8692e8fe18,3.0 Purpose,66,"Matched with '3.0 Purpose' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
