CSV Source,Policy Name,Mapped Section,Confidence,Accuracy,AI Rationale
mapped_policies_output_hf_lexical.csv,'chpasswd' is used to set or remove passwords,Page 2,0.93,High,Content mapped to PDF section on page 2 with confidence 0.93.
mapped_policies_output_hf_lexical.csv,'public network access enabled' is not set to 'False' for mySQL servers,Page 4,0.98,High,Content mapped to PDF section on page 4 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,2FA is not enforced in GitHub,Page 2,0.76,High,Content mapped to PDF section on page 2 with confidence 0.76.
mapped_policies_output_hf_lexical.csv,A MySQL database instance allows anyone to connect with administrative privileges,Page 4,0.87,High,Content mapped to PDF section on page 4 with confidence 0.87.
mapped_policies_output_hf_lexical.csv,A Policy is not Defined for KMS Key,Page 3,0.82,High,Content mapped to PDF section on page 3 with confidence 0.82.
mapped_policies_output_hf_lexical.csv,A user for the container has not been created,Page 2,0.94,High,Content mapped to PDF section on page 2 with confidence 0.94.
mapped_policies_output_hf_lexical.csv,AI data exposure risk due to S3 bucket linked to SageMaker training job not configured with secure data transport policy,Page 4,0.72,High,Content mapped to PDF section on page 4 with confidence 0.72.
mapped_policies_output_hf_lexical.csv,AI data exposure risk due to S3 bucket used for SageMaker training job accessible to unmonitored cloud accounts,Page 4,0.75,High,Content mapped to PDF section on page 4 with confidence 0.75.
mapped_policies_output_hf_lexical.csv,AI data exposure risk due to publicly readable S3 bucket used for SageMaker training jobs,Page 4,0.85,High,Content mapped to PDF section on page 4 with confidence 0.85.
mapped_policies_output_hf_lexical.csv,AI data exposure risk due to publicly readable S3 bucket used in training AWS Bedrock Custom model,Page 4,0.82,High,Content mapped to PDF section on page 4 with confidence 0.82.
mapped_policies_output_hf_lexical.csv,AI data poisoning risk due to publicly writable S3 Bucket used for SageMaker training job data,Page 4,0.83,High,Content mapped to PDF section on page 4 with confidence 0.83.
mapped_policies_output_hf_lexical.csv,AI data poisoning risk due to publicly writable S3 Bucket used for storing AWS Bedrock Custom model training data,Page 4,0.75,High,Content mapped to PDF section on page 4 with confidence 0.75.
mapped_policies_output_hf_lexical.csv,AI model tampering risk due to publicly writable S3 bucket used for storing SageMaker training job output,Page 4,0.77,High,Content mapped to PDF section on page 4 with confidence 0.77.
mapped_policies_output_hf_lexical.csv,AI model theft risk due to publicly exposed Storage Bucket containing GCP Vertex AI model,Page 4,0.86,High,Content mapped to PDF section on page 4 with confidence 0.86.
mapped_policies_output_hf_lexical.csv,AI model theft risk due to publicly exposed Storage Bucket containing GCP Vertex AI training pipeline output model,Page 4,0.75,High,Content mapped to PDF section on page 4 with confidence 0.75.
mapped_policies_output_hf_lexical.csv,AI model theft risk due to unmonitored and publicly exposed Storage Bucket containing GCP Vertex AI model,Page 4,0.8,High,Content mapped to PDF section on page 4 with confidence 0.8.
mapped_policies_output_hf_lexical.csv,AI model theft risk due to unmonitored and publicly exposed Storage Bucket containing GCP Vertex AI training pipeline output model,Page 4,0.75,High,Content mapped to PDF section on page 4 with confidence 0.75.
mapped_policies_output_hf_lexical.csv,AI training job data exposure risk due to Azure Storage utilized for Azure Machine Learning training job data is publicly accessible,Page 4,0.74,High,Content mapped to PDF section on page 4 with confidence 0.74.
mapped_policies_output_hf_lexical.csv,AKS Cluster Without Upgrade Channel,Page 2,0.86,High,Content mapped to PDF section on page 2 with confidence 0.86.
mapped_policies_output_hf_lexical.csv,AKS Doesn't Use the Paid SKU for its SLA,Page 3,0.86,High,Content mapped to PDF section on page 3 with confidence 0.86.
mapped_policies_output_hf_lexical.csv,AKS Secrets Store Without Auto-Rotation,Page 2,0.9,High,Content mapped to PDF section on page 2 with confidence 0.9.
mapped_policies_output_hf_lexical.csv,"AKS cluster not encrypting temp disks, caches, and data flows",Page 5,0.99,High,Content mapped to PDF section on page 5 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AKS does not use Azure policies add-on,Page 2,0.86,High,Content mapped to PDF section on page 2 with confidence 0.86.
mapped_policies_output_hf_lexical.csv,AKS is not enabled for private clusters,Page 2,0.89,High,Content mapped to PDF section on page 2 with confidence 0.89.
